X,Y
0.477326968973747,0.0
0.5966587112171837,25.0
0.5966587112171837,75.0
0.7159904534606205,100.0
0.7159904534606205,200.0
0.8353221957040572,225.0
0.8353221957040572,275.0
0.954653937947494,300.0
0.8353221957040572,325.0
0.954653937947494,350.0
0.954653937947494,425.0
1.0739856801909307,450.0
1.0739856801909307,550.0
1.1933174224343674,575.0
1.1933174224343674,650.0
1.3126491646778042,675.0
1.3126491646778042,750.0
1.1933174224343674,775.0
1.1933174224343674,800.0
1.0739856801909307,825.0
1.0739856801909307,850.0
0.954653937947494,875.0
0.8353221957040572,875.0
0.7159904534606205,850.0
0.5966587112171837,850.0
0.477326968973747,875.0
0.35799522673031026,875.0
0.2386634844868735,900.0
0.2386634844868735,925.0
0.35799522673031026,950.0
0.35799522673031026,925.0
0.5966587112171837,875.0
0.8353221957040572,925.0
1.1933174224343674,925.0
1.431980906921241,975.0
1.431980906921241,950.0
1.5513126491646778,925.0
1.5513126491646778,875.0
1.6706443914081144,850.0
1.7899761336515512,875.0
2.0286396181384245,875.0
2.0286396181384245,850.0
2.1479713603818613,825.0
2.267303102625298,825.0
2.267303102625298,800.0
2.386634844868735,775.0
2.5059665871121717,775.0
2.7446300715990453,725.0
3.221957040572792,725.0
3.3412887828162288,750.0
3.699284009546539,750.0
3.818615751789976,775.0
3.9379474940334127,775.0
4.057279236276849,800.0
4.176610978520286,800.0
4.295942720763723,825.0
4.41527446300716,825.0
4.6539379474940334,775.0
5.011933174224343,775.0
5.13126491646778,750.0
5.8472553699284004,750.0
5.966587112171838,775.0
6.443914081145584,775.0
6.563245823389021,750.0
6.801909307875895,750.0
6.921241050119331,725.0
7.040572792362768,725.0
7.398568019093078,650.0
7.398568019093078,625.0
7.637231503579952,575.0
7.637231503579952,550.0
7.756563245823388,525.0
7.756563245823388,500.0
7.875894988066825,475.0
7.875894988066825,450.0
8.353221957040573,350.0
8.591885441527445,350.0
9.069212410501192,450.0
9.069212410501192,475.0
9.427207637231502,550.0
9.427207637231502,575.0
9.665871121718377,625.0
9.665871121718377,650.0
9.90453460620525,700.0
9.90453460620525,725.0
10.023866348448687,750.0
10.023866348448687,775.0
10.501193317422434,875.0
10.501193317422434,900.0
10.381861575178997,925.0
10.143198090692124,925.0
10.023866348448687,950.0
9.90453460620525,950.0
9.785202863961814,975.0
9.54653937947494,975.0
99.88066825775655,975.0
99.88066825775655,0.0
5.966587112171838,0.0
6.085918854415274,25.0
6.085918854415274,50.0
5.8472553699284004,100.0
5.608591885441527,50.0
5.608591885441527,25.0
5.13126491646778,25.0
5.011933174224343,0.0
